school_name,district_name,date,school_year,year,time,day_of_week,city,state,school_type,enrollment,killed,injured,casualties,shooting_type,age_shooter1,gender_shooter1,race_ethnicity_shooter1,shooter_relationship1,shooter_deceased1,resource_officer,weapon,weapon_source,lat,long,staffing,low_grade,high_grade,lunch,county,ulocale,presence_second_shooter
Villa Heights Elementary School,Charlotte-Mecklenburg Schools,8/30/2018,2018-2019,2018,07:30:00,Thursday,Charlotte,North Carolina,public,100,0,0,0,targeted,34,m,b,former boyfriend of student's mother,0.0,0,.45 caliber pistol,stolen,35.236843,-80.812768,9.63,KG,5,119.0,Mecklenburg County,11.0,0
Canyon Springs High School,Clark County School District,9/11/2018,2018-2019,2018,14:35:00,Tuesday,North Las Vegas,Nevada,public,2887,1,0,1,targeted,16,m,b,student,0.0,1,Unknown,Unknown,36.233566,-115.135695,115.0,9,12,2321.0,Clark County,21.0,0
Lawrence Orr Elementary School,Charlotte-Mecklenburg Schools,9/24/2018,2018-2019,2018,09:00:00,Monday,Charlotte,North Carolina,public,860,0,0,0,targeted,24,m,b,Unknown,3.0,0,Unknown,Unknown,35.225991,-80.743914,45.27,PK,5,857.0,Mecklenburg County,11.0,0
Denali Montessori Elementary School,Anchorage School District,10/3/2018,2018-2019,2018,10:00:00,Wednesday,Anchorage,Alaska,public,429,0,1,1,targeted,26,m,b,boyfriend of parent,0.0,0,Sig Sauer .40 caliber handgun,Unknown,61.213281,-149.881113,26.7,PK,6,178.0,Anchorage Municipality,11.0,0
Battle Creek Academy,Unknown,10/12/2018,2018-2019,2018,13:00:00,Friday,Battle Creek,Michigan,private,111,0,0,0,unclear,19,,Unknown,Unknown,3.0,0,Unknown,Unknown,42.33419,-85.207497,9.9,KG,12,488.0,Calhoun County,13.0,0
Paul Laurence Dunbar School,Bridgeport School District,10/22/2018,2018-2019,2018,08:15:00,Monday,Bridgeport,Connecticut,public,416,0,0,0,targeted,18,m,Unknown,Unknown,3.0,0,handgun,Unknown,41.177547,-73.164585,24.0,PK,8,377.0,Fairfield County,12.0,0
Butler High School,Charlotte-Mecklenburg Schools,10/29/2018,2018-2019,2018,07:00:00,Monday,Matthews,North Carolina,public,2133,1,0,1,targeted,16,m,b,student,0.0,1,.380 pistol,stolen,35.1203,-80.6916,114.21,9,12,876.0,Mecklenburg County,21.0,0
Simonsdale Elementary School,Portsmouth City Pblc Schs,11/20/2018,2018-2019,2018,15:45:00,Tuesday,Portsmouth,Virginia,public,702,0,1,1,accidental,29,m,b,parent of student,0.0,0,handgun,Unknown,36.82682,-76.36628,41.0,KG,5,351.0,Portsmouth City,13.0,0
Dennis Intermediate School,Richmond Community Schools,12/13/2018,2018-2019,2018,08:00:00,Thursday,Richmond,Indiana,public,647,0,0,0,indiscriminate,14,m,Unknown,student,1.0,1,handgun and a rifle,Unknown,39.832,-84.9114,59.5,5,8,527.0,Wayne County,32.0,0
Cascade Middle School,Bethel Sd 52,1/11/2019,2018-2019,2019,10:30:00,Friday,Eugene,Oregon,public,336,0,0,0,targeted,30,m,Unknown,father of student,1.0,1,handgun,Unknown,44.0788,-123.1667,16.6,6,8,248.0,Lane County,12.0,0
North High School,Minneapolis Public School District,1/16/2019,2018-2019,2019,12:30:00,Wednesday,Minneapolis,Minnesota,public,382,0,0,0,unclear,19,,Unknown,Unknown,3.0,0,Unknown,Unknown,44.994017,-93.300234,49.28,9,12,276.0,Hennepin County,11.0,0
Frederick Douglass High School,Baltimore City Public Schools,2/8/2019,2018-2019,2019,12:00:00,Friday,Baltimore,Maryland,public,877,0,1,1,targeted,25,m,Unknown,brother of student,0.0,0,Smith and Wesson .40 caliber gun,Unknown,39.3148,-76.6549,62.0,9,12,488.0,Baltimore City,11.0,0
V. Sue Cleveland High School,Rio Rancho Public Schools,2/14/2019,2018-2019,2019,07:15:00,Thursday,Rio Rancho,New Mexico,public,2404,0,0,0,targeted and indiscriminate,16,m,Unknown,student,0.0,0,.45 caliber handgun,Unknown,35.312773,-106.641929,123.06,9,12,750.0,Sandoval County,41.0,0
Robert E. Lee High School,Montgomery County,2/26/2019,2018-2019,2019,11:00:00,Tuesday,Montgomery,Alabama,public,1514,0,1,1,targeted,16,m,b,student,0.0,0,.40-caliber handgun,stolen from neighbor,32.378702,-86.271649,82.5,9,12,941.0,Montgomery County,12.0,0
Highlands Elementary School,Shawnee Mission Pub Sch,3/1/2019,2018-2019,2019,13:30:00,Friday,Mission,Kansas,public,321,0,0,0,indiscriminate,26,m,w,neighbor of school,0.0,0,handgun,Unknown,39.0168,-94.6409,27.2,PK,6,48.0,Johnson County,21.0,0
Blountsville Elementary School,Blount County,3/22/2019,2018-2019,2019,12:30:00,Friday,Blountsville,Alabama,public,632,0,1,1,accidental,72,m,w,substitute teacher,0.0,0,Taurus .380 pistol,legally purchased by shooter,34.0847,-86.586,37.39,KG,6,425.0,Blount County,42.0,0
Prescott High School,Prescott School District,4/1/2019,2018-2019,2019,09:14:00,Monday,Prescott,Arkansas,public,457,0,1,1,targeted,14,,Unknown,student,0.0,0,handgun,Unknown,33.791237,-93.377376,42.07,7,12,310.0,Nevada County,41.0,0
New Joseph Bonnheim Community Charter School,Sacramento City Unified,4/3/2019,2018-2019,2019,13:45:00,Wednesday,Sacramento,California,public,370,0,0,0,unclear,19,,Unknown,Unknown,3.0,0,Unknown,Unknown,38.5333,-121.4182,12.5,KG,6,253.0,Sacramento County,11.0,0
Saint Clair Evans Academy,Duval,4/3/2019,2018-2019,2019,11:00:00,Wednesday,Jacksonville,Florida,public,380,0,0,0,unclear,19,,Unknown,Unknown,3.0,0,Unknown,Unknown,30.371086,-81.695138,29.0,PK,5,336.0,Duval County,11.0,0
Flex High School,Flex High School Of Michigan,4/17/2019,2018-2019,2019,10:00:00,Wednesday,Flint,Michigan,public,120,0,0,0,targeted,16,,Unknown,student,0.0,0,Unknown,Unknown,43.059497,-83.73516,3.0,9,12,117.0,Genesee County,13.0,0
STEM School Highlands Ranch,Douglas County School District NO. Re 1,5/7/2019,2018-2019,2019,13:52:00,Tuesday,Highlands Ranch,Colorado,public,1850,1,8,9,indiscriminate,16,m,w,student,0.0,1,"Glock 21 .45-caliber semi-automatic pistol, Beretta M9 9mm semi-automatic pistol, Taurus Revolver and a Ruger 10/22 .22-caliber semi-automatic rifle",parent,39.5559,-104.9979,82.62,KG,12,89.0,Douglas County,21.0,1
Hendley Elementary School,District Of Columbia Public Schools,6/12/2019,2018-2019,2019,16:20:00,Wednesday,Washington,District of Columbia,public,379,0,0,0,unclear,19,,Unknown,Unknown,3.0,0,Unknown,Unknown,38.828872,-76.999555,29.5,PK,5,488.0,District of Columbia,11.0,0
Blount Elementary School,Montgomery County,8/8/2019,2019-2020,2019,07:26:00,Thursday,Montgomery,Alabama,public,150,0,0,0,targeted,38,m,b,father of student,0.0,0,pistol,Unknown,32.3106,-86.1324,25.0,KG,5,65.0,Montgomery County,41.0,0
Hollenbeck Middle School,Los Angeles Unified,8/27/2019,2019-2020,2019,11:00:00,Tuesday,Los Angeles,California,public,1023,0,1,1,unclear,19,,Unknown,Unknown,3.0,0,Unknown,Unknown,34.036765,-118.212583,47.83,6,8,982.0,Los Angeles County,11.0,0
South Aiken High School,Aiken 01,9/10/2019,2019-2020,2019,,Tuesday,Aiken,South Carolina,public,1405,0,0,0,unclear,19,,Unknown,Unknown,3.0,0,Unknown,Unknown,33.521766,-81.71303,78.8,9,12,441.0,Aiken County,21.0,0
Aiton Elementary School,District Of Columbia Public Schools,9/25/2019,2019-2020,2019,,Wednesday,Washington,District of Columbia,public,243,0,0,0,targeted,19,,Unknown,Unknown,3.0,0,Unknown,Unknown,38.896669,-76.933728,21.0,PK,5,488.0,District of Columbia,11.0,0
Ridgway High School,Santa Rosa High,10/22/2019,2019-2020,2019,09:00:00,Tuesday,Santa Rosa,California,public,257,0,1,1,targeted,17,,Unknown,student,3.0,0,Unknown,Unknown,38.4497,-122.7226,19.08,11,12,139.0,Sonoma County,12.0,0
Achievement Academy,Baltimore City Public Schools,11/11/2019,2019-2020,2019,14:00:00,Monday,Baltimore,Maryland,public,343,0,1,1,targeted,19,,Unknown,Unknown,3.0,0,Unknown,Unknown,39.366066,-76.571382,20.0,9,12,343.0,Baltimore City,11.0,0
Esteban Torres High School,Unknown,11/13/2019,2019-2020,2019,09:00:00,Wednesday,Los Angeles,California,public,1876,1,0,1,targeted,19,,Unknown,sheriff's deputy,3.0,1,Unknown,police,34.041846,-118.175531,97.75,9,12,1802.0,Los Angeles County,21.0,0
Saugus High School,William S. Hart Union High,11/14/2019,2019-2020,2019,07:38:00,Thursday,Saugus,California,public,2441,2,3,5,indiscriminate,16,m,Unknown,student,1.0,0,.45 caliber 1911 pistol,ghost gun,34.441924,-118.518128,93.98,9,12,406.0,Los Angeles County,21.0,0
Waukesha South High School,Waukesha School District,12/2/2019,2019-2020,2019,09:00:00,Monday,Waukesha,Wisconsin,public,946,0,1,1,targeted,19,m,w,resource officer,0.0,1,handgun,department issued,42.993,-88.2237,73.3,9,12,395.0,Waukesha County,13.0,0
Oshkosh West High School,Oshkosh Area School District,12/3/2019,2019-2020,2019,09:00:00,Tuesday,Oshkosh,Wisconsin,public,1702,0,1,1,targeted,19,m,w,resource officer,0.0,1,handgun,department issued,44.0225,-88.5736,116.1,9,12,435.0,Winnebago County,13.0,0
Decatur High School,Decatur City,12/10/2019,2019-2020,2019,08:20:00,Tuesday,Decatur,Alabama,public,1036,0,0,0,targeted,22,m,Unknown,Unknown,0.0,0,Unknown,Unknown,34.593282,-86.97216,64.5,9,12,586.0,Morgan County,13.0,0
Sacred Heart School,Unknown,12/10/2019,2019-2020,2019,12:45:00,Tuesday,Jersey City,New Jersey,private,219,0,0,0,targeted,19,,Unknown,Unknown,3.0,0,Unknown,Unknown,40.706963,-74.083408,11.5,PK,8,488.0,Hudson County,11.0,0
Catholic Academy of New Haven,Unknown,12/16/2019,2019-2020,2019,09:00:00,Monday,New Haven,Connecticut,private,292,0,0,0,targeted,19,m,b,Unknown,3.0,0,Unknown,Unknown,41.325823,-72.963177,13.0,PK,8,488.0,New Haven County,12.0,0
Bellaire High School,Houston ISD,1/14/2020,2019-2020,2020,16:00:00,Tuesday,Bellaire,Texas,public,3487,1,0,1,accidental,16,m,Unknown,student,0.0,0,.32 caliber semi-automatic pistol,Unknown,29.692163,-95.469159,203.32,9,12,1665.0,Harris County,21.0,0
McAuliffe Elementary School,Oxnard,1/23/2020,2019-2020,2020,11:30:00,Thursday,Oxnard,California,public,698,0,1,1,indiscriminate,19,,Unknown,Unknown,3.0,0,Unknown,Unknown,34.1876,-119.2135,32.0,KG,12,374.0,Ventura County,12.0,0
West High School,Salt Lake District,2/13/2020,2019-2020,2020,15:00:00,Thursday,Salt Lake City,Utah,public,2703,0,0,0,targeted,19,,Unknown,student,3.0,0,Unknown,Unknown,40.774742,-111.900444,111.84,7,12,1483.0,Salt Lake County,12.0,0
Antioch High School,Antioch Unified,2/19/2020,2019-2020,2020,09:30:00,Wednesday,Antioch,California,public,2061,0,0,0,targeted,15,m,Unknown,Unknown,3.0,0,Unknown,Unknown,38.0063,-121.8163,87.84,9,12,1460.0,Contra Costa County,21.0,0
Cesar Chavez Community School,Cesar Chavez Community School,2/21/2020,2019-2020,2020,11:00:00,Friday,Albuquerque,New Mexico,public,203,0,0,0,unclear,19,,Unknown,Unknown,3.0,0,Unknown,Unknown,35.059669,-106.583882,11.36,9,12,203.0,Bernalillo County,11.0,0
Sagemont School,Unknown,3/5/2020,2019-2020,2020,12:00:00,Thursday,Weston,Florida,private,651,0,1,1,accidental,55,m,b,security guard,0.0,0,Unknown,Unknown,26.13796,-80.424081,46.0,PK,12,488.0,Broward County,21.0,0
Ribault High School,Duval,10/9/2020,2020-2021,2020,14:00:00,Friday,Jacksonville,Florida,public,1383,0,1,1,accidental,18,,Unknown,Unknown,0.0,0,.380-caliber handgun,Unknown,30.3906,-81.7073,68.0,9,12,884.0,Duval County,11.0,0
Lincoln Elementary School,Brunswick County Schools,11/13/2020,2020-2021,2020,14:00:00,Friday,Leland,North Carolina,public,594,0,1,1,accidental,19,,Unknown,Unknown,0.0,0,Unknown,Unknown,34.2618,-78.0429,40.0,PK,5,495.0,Brunswick County,22.0,0
Hendersonville Middle School,Henderson County Schools,11/24/2020,2020-2021,2020,07:45:00,Tuesday,Hendersonville,North Carolina,public,561,0,1,1,accidental,12,m,Unknown,Unknown,0.0,0,Unknown,Unknown,35.3219,-82.473,41.0,6,8,254.0,Handerson County,21.0,0
Watson Chapel Junior High,Watson Chapel School District,3/1/2021,2020-2021,2021,09:55:00,Monday,Pine Bluff,Arkansas,public,615,1,0,1,targeted,15,m,b,Unknown,3.0,0,handgun,Unknown,34.189927,-92.065921,43.53,7,9,488.0,Jefferson County,41.0,0
Wayne Central Middle School,Wayne Central School District,3/1/2021,2020-2021,2021,09:40:00,Monday,Ontario,New York,public,693,0,1,1,targeted,19,m,w,employee,3.0,0,Smith and Wesson M&P .45 caliber handgun,SRO,43.2197,-77.3036,67.09,5,8,268.0,Wayne County,21.0,0
Edwards Elementary School,Chesterfield 01,3/8/2021,2020-2021,2021,13:30:00,Monday,Chesterfield,South Carolina,public,503,0,1,1,targeted,54,,Unknown,Unknown,3.0,0,Unknown,Unknown,34.737634,-80.11771,36.0,PK,5,503.0,Chesterfield County,42.0,0
Bishop Hartley High School,Unknown,3/9/2021,2020-2021,2021,08:50:00,Tuesday,Columbus,Ohio,private,679,0,0,0,unclear,19,,Unknown,Unknown,3.0,0,Unknown,Unknown,39.94497,-82.910821,47.3,9,12,488.0,Franklin County,11.0,0
Selma High School,Selma City Schools,4/1/2021,2020-2021,2021,13:00:00,Thursday,Selma,Alabama,public,777,0,0,0,targeted,15,m,b,Unknown,3.0,0,handgun,Unknown,32.428416,-87.022637,39.0,7,12,662.0,Dallas County,32.0,0
Austin-East Magnet High,Knox County,4/12/2021,2020-2021,2021,15:15:00,Monday,Knoxville,Tennessee,public,728,0,1,1,accidental,17,m,b,Unknown,1.0,1,Glock 45 handgun,Unknown,35.9901,-83.887,59.3,9,12,472.0,Knox County,12.0,0
Ply_mouth Middle School,Robbinsdale Area Schools,4/26/2021,2020-2021,2021,08:44:00,Monday,Ply_mouth,Minnesota,public,1001,0,0,0,indiscriminate,12,m,w,Unknown,3.0,0,handgun,father's bedroom,45.020964,-93.406233,36.5,6,8,397.0,Hennepin County,13.0,0
Smyrna Middle School,Smyrna School District,4/27/2021,2020-2021,2021,10:25:00,Tuesday,Smyrna,Delaware,public,984,1,0,1,targeted,47,m,b,Unknown,3.0,0,handgun,Unknown,39.302595,-75.623778,64.0,7,8,488.0,Kent County,41.0,0
Urban Dove Team Charter School,Urban Dove Team Charter School,4/29/2021,2020-2021,2021,14:45:00,Thursday,Brooklyn,New York,public,313,1,0,1,targeted,15,m,b,Unknown,3.0,0,Unknown,Unknown,40.622473,-73.954975,24.0,10,12,268.0,Kings County,11.0,1
Mary Evelyn Castle Elementary School,Metropolitan School District of Lawrence Township,4/30/2021,2020-2021,2021,13:00:00,Friday,Indianapolis,Indiana,public,672,0,1,1,targeted,32,m,Unknown,Unknown,3.0,0,Unknown,Unknown,39.9081,-86.018,34.0,1,6,393.0,Marion County,11.0,0
Ware Shoals High School,Greenwood 51,5/5/2021,2020-2021,2021,08:00:00,Wednesday,Ware Shoals,South Carolina,public,272,0,0,0,public suicide,15,m,w,Unknown,1.0,0,handgun,mom's gun; kept in her car,34.393145,-82.238603,20.0,9,12,144.0,Greenwood County,42.0,0
Rigby Middle School,Jefferson County Joint District,5/6/2021,2020-2021,2021,09:00:00,Thursday,Rigby,Idaho,public,1541,0,3,3,indiscriminate,19,f,Unknown,student,3.0,0,handgun,Unknown,43.668498,-111.941927,76.82,6,8,508.0,Jefferson County,41.0,0
North Forest High School,Houston Isd,6/9/2021,2020-2021,2021,10:30:00,Wednesday,Houston,Texas,public,976,0,1,1,targeted,19,,Unknown,Unknown,3.0,0,Unknown,Unknown,29.867029,-95.259744,58.28,9,12,931.0,Harris County,11.0,0
Saint Francis de Sales School,Unknown,8/6/2021,2021-2022,2021,13:00:00,Friday,Houma,Louisiana,private,660,0,1,1,targeted,17,m,b,Unknown,3.0,0,Unknown,Unknown,29.60752,-90.734161,35.0,PK,7,488.0,Terrebonne County,13.0,0
Lithonia High School,Dekalb County,8/12/2021,2021-2022,2021,15:00:00,Thursday,Lithonia,Georgia,public,1362,0,1,1,targeted,19,,Unknown,resource officer,3.0,1,handgun,Unknown,33.725,-84.1294,88.5,9,12,1075.0,Dekalb County,21.0,0
Washington Middle School,Albuquerque Public Schools,8/13/2021,2021-2022,2021,12:45:00,Friday,Albuquerque,New Mexico,public,442,1,0,1,targeted,13,m,Unknown,Unknown,3.0,0,handgun,Unknown,35.086144,-106.661691,34.4,6,8,442.0,Bernalillo County,11.0,0
Orangeburg-Wilkinson High School,Orangeburg,8/18/2021,2021-2022,2021,16:00:00,Wednesday,Orangeburg,South Carolina,public,1016,0,3,3,targeted,14,m,Unknown,Unknown,3.0,0,Unknown,Unknown,33.524095,-80.836538,57.0,9,12,1016.0,Orangeburg County,32.0,0
New Hanover High School,New Hanover County Schools,8/30/2021,2021-2022,2021,11:00:00,Monday,Wilmington,North Carolina,public,1529,0,1,1,targeted,15,m,b,Unknown,3.0,0,Unknown,Unknown,34.2374,-77.9324,95.53,9,12,1504.0,New Hanover County,12.0,0
Mount Tabor High School,Winston Salem / Forsyth County Schools,9/1/2021,2021-2022,2021,12:00:00,Wednesday,Winston-Salem,North Carolina,public,1491,1,0,1,targeted,15,m,Unknown,Unknown,3.0,0,Unknown,Unknown,36.1268,-80.3132,81.76,9,12,595.0,Forsyth County,12.0,0
LaVergne High School,Rutherford County,9/7/2021,2021-2022,2021,15:30:00,Tuesday,Lavergne,Tennessee,public,1910,0,0,0,targeted,15,m,Unknown,Unknown,3.0,0,Unknown,Unknown,35.9887,-86.5597,115.1,9,12,1150.0,Rutherford County,21.0,0
Tri-County Education Center,Ferndale Public Schools,9/8/2021,2021-2022,2021,14:30:00,Wednesday,Ferndale,Michigan,public,360,0,0,0,targeted,19,m,Unknown,Unknown,3.0,0,Unknown,Unknown,42.450386,-83.159362,6.48,9,12,262.0,Oakland County,21.0,0
Heritage High School,Newport News City Pblc Schs,9/20/2021,2021-2022,2021,11:39:00,Monday,Newport News,Virginia,public,1173,0,2,2,targeted,15,m,Unknown,Unknown,3.0,0,Unknown,Unknown,37.0063,-76.4272,77.34,9,12,862.0,Newport News City,12.0,0
Newton County Elementary School,Newton County School District,9/30/2021,2021-2022,2021,13:45:00,Thursday,Decatur,Mississippi,public,787,0,1,1,accidental,19,m,Unknown,student,0.0,0,handgun,boyfriend of child's mother,32.446371,-89.105538,60.0,PK,5,449.0,Newton County,42.0,0
Cummings K-8 Optional School,Shelby County,9/30/2021,2021-2022,2021,10:00:00,Thursday,Memphis,Tennessee,public,495,0,1,1,targeted,13,m,Unknown,Unknown,3.0,0,Unknown,Unknown,35.1189,-90.0283,29.3,PK,8,488.0,Shelby County,11.0,0
YES Prep Southwest Secondary,Yes Prep Public Schools Inc,10/1/2021,2021-2022,2021,11:45:00,Friday,Houston,Texas,public,1010,0,1,1,targeted,25,m,Unknown,former student,3.0,0,Unknown,Unknown,29.605766,-95.44306,61.51,6,12,922.0,Harris County,21.0,0
Timberview High School,Mansfield Isd,10/6/2021,2021-2022,2021,09:15:00,Wednesday,Arlington,Texas,public,1900,0,4,4,targeted,18,m,b,student,3.0,0,handgun,Unknown,32.622073,-97.076321,11.22,9,11,120.0,Tarrant County,11.0,0
Little Rock Central High School,Little Rock School District,10/12/2021,2021-2022,2021,11:27:00,Tuesday,Little Rock,Arkansas,public,2430,0,0,0,unclear,19,,Unknown,Unknown,3.0,0,Unknown,Unknown,34.736827,-92.298954,167.63,9,12,1188.0,Pulaski County,12.0,0
Wendell Phillips Academy High School,City Of Chicago Sd 299,10/12/2021,2021-2022,2021,15:15:00,Tuesday,Chicago,Illinois,public,599,0,2,2,indiscriminate,19,,Unknown,Unknown,3.0,0,Unknown,Unknown,41.8244,-87.6199,47.0,9,12,576.0,Cook County,11.0,0
James McDade Classical School,City Of Chicago Sd 299,10/13/2021,2021-2022,2021,08:38:00,Wednesday,Chicago,Illinois,public,176,0,0,0,targeted,19,,Unknown,Unknown,3.0,0,Unknown,Unknown,41.7344,-87.6188,10.0,KG,6,47.0,Cook County,11.0,0
Cathedral School,Unknown,10/26/2021,2021-2022,2021,09:20:00,Tuesday,Natchez,Mississippi,private,665,0,0,0,unclear,19,,Unknown,Unknown,3.0,0,Unknown,Unknown,31.562163,-91.394805,52.5,PK,12,488.0,Adams County,33.0,0
Poughkeepsie High School,Poughkeepsie City School District,11/15/2021,2021-2022,2021,15:15:00,Monday,Poughkeepsie,New York,public,1153,0,0,0,targeted,13,m,Unknown,student,3.0,0,.38-caliber handgun,Unknown,41.6948,-73.9138,102.83,9,12,865.0,Dutchess County,13.0,0
P.S. 44,New York City Geographic District #12,11/16/2021,2021-2022,2021,14:15:00,Tuesday,Bronx,New York,public,263,0,0,0,unclear,45,m,Unknown,Unknown,3.0,0,handgun,Unknown,40.8425,-73.891,25.0,PK,5,258.0,Bronx County,11.0,0
Hinkley High School,Aurora Joint District NO. 28 Of The Counties Of Adams And Arapahoe,11/19/2021,2021-2022,2021,12:00:00,Friday,Aurora,Colorado,public,2091,0,3,3,targeted,16,,Unknown,student,3.0,1,Unknown,Unknown,39.7349,-104.8086,107.93,9,12,1726.0,Arapahoe County,11.0,0
Thornton Township High School,Thornton Twp Hsd 205,11/24/2021,2021-2022,2021,15:00:00,Wednesday,Harvey,Illinois,public,1569,0,0,0,targeted,19,,Unknown,Unknown,3.0,0,Unknown,Unknown,41.61606,-87.643734,116.0,9,12,992.0,Cook County,21.0,0
